Tct Id,Topic Name,LC URI,LC closeMatch,FAST_URI,FAST closeMatch,VIAF_URI,Wikidata_URI,Wikidata closeMatch
21733,lesbianism,http://id.loc.gov/authorities/subjects/sh85076157,,http://id.worldcat.org/fast/996514,,,https://www.wikidata.org/entity/Q6649,closeMatch
21737,Libidinal woman,,,,,,,
21738,Libidinal woman -- Dickens's fear of,,,,,,,
21739,Libidinal woman -- Dickens's need to repeat compulsively fantasy of attack on,,,,,,,
21740,Libidinal woman -- in Dickens's obsession with murder,,,,,,,
21744,life,,,,,,https://www.wikidata.org/entity/Q3,
21753,Little Dorrit (Dickens) -- Euphrasia theme in,,,,,,,
21765,love,http://id.loc.gov/authorities/subjects/sh85078519,,http://id.worldcat.org/fast/1002769,,,https://www.wikidata.org/entity/Q316,
21777,Love -- in father-daughter relationship,,,,,,,
21800,"MacKenzie, Norman and Jeanne",,,,,,,
21805,"Male, the",,,,,,https://www.wikidata.org/entity/Q6581097,
21810,Man-woman relationships,http://id.loc.gov/authorities/subjects/sh92001504,,http://id.worldcat.org/fast/1007080,,,,
21813,Man-woman relationships -- Dickens's solutions to problem of,,,,,,,
21815,Man-woman relationships -- freedom as solution to problem of,,,,,,,
21819,manhood,,,,,,,
21824,Marriage -- in Dickens,,,,,,,
21825,Marriage -- Dickens's attitude toward,,,,,,,
21835,"May, Rollo",http://id.loc.gov/authorities/names/n50007062,,http://id.worldcat.org/fast/1910,,https://viaf.org/viaf/108159288,https://www.wikidata.org/entity/Q1059597,
21836,Meaning,,,http://id.worldcat.org/fast/1013149,,,https://www.wikidata.org/entity/Q3054749,
21851,"Merleau-Ponty, Maurice",http://id.loc.gov/authorities/names/n79056034,,http://id.worldcat.org/fast/35769,,https://viaf.org/viaf/31991436,https://www.wikidata.org/entity/Q212639,
21852,Money,http://id.loc.gov/authorities/subjects/sh85086790,,http://id.worldcat.org/fast/1025265,,,https://www.wikidata.org/entity/Q1368,
21856,"Rich, Adrienne",http://id.loc.gov/authorities/names/no2010203172,,http://id.worldcat.org/fast/1799606,,https://viaf.org/viaf/16565,https://www.wikidata.org/entity/Q270705,
21873,"Mother, the -- in image of woman in Dickens",,,,,,,
21890,Mother of Dickens (Elizabeth Dickens) -- Dickens's relationship with,,,,,,,
21891,Mother of Dickens (Elizabeth Dickens) -- and Dickens's view of woman,,,,,,,
21894,motherhood,http://id.loc.gov/authorities/subjects/sh85087522,,http://id.worldcat.org/fast/1026907,,,https://www.wikidata.org/entity/Q7560,closeMatch
21904,"Murderousness, in Dickens's attitude toward woman",,,,,,,
21912,"Nightingale, Florence",http://id.loc.gov/authorities/names/n79103647,,http://id.worldcat.org/fast/42325,,https://viaf.org/viaf/54172695,https://www.wikidata.org/entity/Q37103,
21919,Object,,,,,,,
